MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2021-04-10-chennai-super-kings-delhi-capitals,2nd innings,12.1,MM Ali,S Dhawan,PP Shaw,1,0,1,,,,,,
2021-04-12-punjab-kings-rajasthan-royals,1st innings,16.6,C Sakariya,DJ Hooda,KL Rahul,1,1,,,,,,,
2021-04-12-punjab-kings-rajasthan-royals,1st innings,18.3,Mustafizur Rahman,KL Rahul,M Shahrukh Khan,1,1,,,,,,,
2021-04-12-punjab-kings-rajasthan-royals,2nd innings,6.1,M Ashwin,SV Samson,JC Buttler,1,1,,,,,,,
2021-04-13-mumbai-indians-kolkata-knight-riders,2nd innings,16.4,JJ Bumrah,AD Russell,KD Karthik,1,1,,,,,,,
2021-04-14-royal-challengers-bangalore-sunrisers-hyderabad,2nd innings,17.4,HV Patel,JO Holder,V Shankar,1,0,1,,,,,,
2021-04-14-royal-challengers-bangalore-sunrisers-hyderabad,2nd innings,19.3,HV Patel,Rashid Khan,B Kumar,1,0,1,,,,,,
2021-04-17-mumbai-indians-sunrisers-hyderabad,1st innings,1.2,KK Ahmed,Q de Kock,RG Sharma,1,1,,,,,,,
2021-04-18-punjab-kings-delhi-capitals,1st innings,1.4,LI Meriwala,MA Agarwal,KL Rahul,1,1,,,,,,,
2021-04-18-punjab-kings-delhi-capitals,1st innings,16.1,CR Woakes,DJ Hooda,CH Gayle,1,1,,,,,,,
2021-04-18-punjab-kings-delhi-capitals,2nd innings,16.2,Mohammed Shami,RR Pant,MP Stoinis,1,1,,,,,,,
2021-04-18-punjab-kings-delhi-capitals,2nd innings,16.4,Mohammed Shami,MP Stoinis,RR Pant,1,0,1,,,,,,
2021-04-18-punjab-kings-delhi-capitals,2nd innings,18.1,RP Meredith,Lalit Yadav,MP Stoinis,1,0,1,,,,,,
2021-04-18-royal-challengers-bangalore-kolkata-knight-riders,1st innings,0.2,Harbhajan Singh,V Kohli,D Padikkal,1,1,,,,,,,
2021-04-18-royal-challengers-bangalore-kolkata-knight-riders,1st innings,6.3,M Prasidh Krishna,D Padikkal,GJ Maxwell,1,1,,,,,,,
2021-04-18-royal-challengers-bangalore-kolkata-knight-riders,1st innings,7.1,CV Varun,GJ Maxwell,D Padikkal,1,1,,,,,,,
2021-04-19-chennai-super-kings-rajasthan-royals,1st innings,19.2,Mustafizur Rahman,SN Thakur,DJ Bravo,1,1,,,,,,,
2021-04-19-chennai-super-kings-rajasthan-royals,2nd innings,9.5,RA Jadeja,JC Buttler,S Dube,1,1,,,,,,,
2021-04-20-mumbai-indians-delhi-capitals,2nd innings,18.1,JJ Bumrah,Lalit Yadav,SO Hetmyer,1,1,,,,,,,
2021-04-20-mumbai-indians-delhi-capitals,2nd innings,18.4,JJ Bumrah,Lalit Yadav,SO Hetmyer,1,1,,,,,,,
2021-04-20-mumbai-indians-delhi-capitals,2nd innings,19.2,KA Pollard,SO Hetmyer,Lalit Yadav,1,0,1,,,,,,
2021-04-21-chennai-super-kings-kolkata-knight-riders,1st innings,11.3,M Prasidh Krishna,RD Gaikwad,F du Plessis,1,1,,,,,,,
2021-04-21-chennai-super-kings-kolkata-knight-riders,1st innings,11.6,M Prasidh Krishna,RD Gaikwad,F du Plessis,1,1,,,,,,,
2021-04-21-chennai-super-kings-kolkata-knight-riders,1st innings,16.5,SP Narine,F du Plessis,MS Dhoni,1,1,,,,,,,
2021-04-21-chennai-super-kings-kolkata-knight-riders,2nd innings,10.6,RA Jadeja,AD Russell,KD Karthik,1,1,,,,,,,
2021-04-21-punjab-kings-sunrisers-hyderabad,1st innings,14.4,S Kaul,FA Allen,M Shahrukh Khan,1,1,,,,,,,
2021-04-23-mumbai-indians-punjab-kings,2nd innings,3.3,TA Boult,MA Agarwal,KL Rahul,1,0,1,,,,,,
2021-04-24-kolkata-knight-riders-rajasthan-royals,1st innings,16.1,C Sakariya,AD Russell,KD Karthik,1,1,,,,,,,
2021-04-24-kolkata-knight-riders-rajasthan-royals,2nd innings,7.1,SP Narine,SV Samson,S Dube,1,1,,,,,,,
2021-04-25-chennai-super-kings-royal-challengers-bangalore,1st innings,5.2,NA Saini,RD Gaikwad,F du Plessis,1,1,,,,,,,
2021-04-25-chennai-super-kings-royal-challengers-bangalore,1st innings,19.3,HV Patel,RA Jadeja,MS Dhoni,1,0,1,,,,,,
2021-04-25-delhi-capitals-sunrisers-hyderabad,1st innings,12.5,V Shankar,RR Pant,SPD Smith,1,0,1,,,,,,
2021-04-29-kolkata-knight-riders-delhi-capitals,2nd innings,14.2,M Prasidh Krishna,PP Shaw,RR Pant,1,0,0,0,1,,,,
2021-04-29-rajasthan-royals-mumbai-indians,1st innings,19.5,NM Coulter-Nile,R Parag,DA Miller,1,0,0,0,0,0,0,1,
2021-05-01-chennai-super-kings-mumbai-indians,1st innings,16.7,JJ Bumrah,AT Rayudu,RA Jadeja,1,1,,,,,,,
2021-05-02-rajasthan-royals-sunrisers-hyderabad,1st innings,18.5,Sandeep Sharma,JC Buttler,R Parag,1,1,,,,,,,
